Category,Item,Serving_g,Calories_kcal_per_100g,Protein_g_per_100g,Fat_g_per_100g,Carbs_g_per_100g,Fiber_g_per_100g,Sugars_g_per_100g,Sodium_mg_per_100g,Key_vitamins_minerals,Notes
Regional Specialty,Keralan Malai Kofta small,100,268,3.6,24.0,14.0,5.6,13.3,530,Varies widely,Recipe variants cause large nutritional differences.
Fruit,Lychee,100,57,1.4,0.2,16.4,2.8,9.9,0,"Vitamin C, Potassium, Dietary Fiber",Fresh fruit; vitamins vary by type.
Breakfast/Tiffin,Pongal,100,258,11.0,6.7,17.4,1.3,5.6,247,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Bengali Paneer Butter Masala small,100,386,7.5,16.8,11.6,6.0,17.0,476,Varies widely,Recipe variants cause large nutritional differences.
Fruit,Pomegranate,100,94,0.8,0.3,15.9,2.1,15.9,3,"Vitamin C, Potassium, Dietary Fiber",Fresh fruit; vitamins vary by type.
Regional Specialty,Keralan Masala Omelette with Rice,100,183,8.5,17.0,11.9,5.3,5.5,587,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Baingan Bharta with Roti,100,295,12.7,17.6,18.2,5.9,5.3,218,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Butter Chicken medium,100,259,4.9,10.5,54.5,4.6,17.9,435,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Chole Bhature medium,100,221,5.6,5.5,48.0,0.9,19.1,545,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Fish Fry with Roti,100,216,9.6,23.0,30.4,3.2,10.6,422,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Butter Chicken with Roti,100,182,3.7,11.7,49.7,3.0,2.7,551,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Paneer Butter Masala medium,100,166,14.2,6.9,31.0,2.4,7.7,372,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Kadai Paneer small,100,241,7.5,5.3,43.0,1.7,6.4,102,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Masala Omelette medium,100,391,5.9,17.6,41.3,1.9,14.0,392,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Methi Paratha,100,263,9.2,4.9,21.1,4.8,1.4,260,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Bengali Aloo Gobi with Rice,100,168,5.0,19.3,30.6,0.8,5.9,169,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Baingan Bharta small,100,404,5.5,8.6,19.4,5.1,12.6,407,Varies widely,Recipe variants cause large nutritional differences.
Bread/Roti,Roti,100,251,10.4,6.8,33.3,3.1,2.9,235,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Punjabi Masala Omelette with Roti,100,447,7.9,8.4,42.8,5.7,13.2,232,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Aloo Paratha with Rice,100,314,17.3,16.4,54.4,3.2,11.0,110,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Aloo Paratha small,100,152,12.5,12.7,45.1,4.1,2.8,86,Varies widely,Recipe variants cause large nutritional differences.
Fruit,Banana,100,52,1.3,0.4,12.8,2.4,6.5,1,"Vitamin C, Potassium, Dietary Fiber",Fresh fruit; vitamins vary by type.
Salad/Side,Green Salad,100,87,1.4,0.8,19.3,5.1,6.0,20,Varies,
Regional Specialty,Gujarati Paneer Butter Masala medium,100,280,9.4,17.3,28.7,1.3,18.5,108,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Kadai Paneer small,100,388,3.5,21.5,57.3,4.2,15.4,462,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Bhindi Masala small,100,162,10.5,12.0,49.2,3.6,17.2,137,Varies widely,Recipe variants cause large nutritional differences.
Beverage,Lassi (Salted),100,164,3.2,7.3,18.2,0.0,16.6,21,Varies (fruit drinks have vitamin C); caffeine in tea/coffee,Watch added sugar.
Regional Specialty,Hyderabadi Tawa Fish medium,100,120,17.2,23.8,29.6,6.0,19.3,73,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Masala Omelette with Roti,100,370,14.8,19.9,16.5,2.9,8.9,479,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Malai Kofta with Rice,100,296,17.6,5.0,28.5,3.6,6.7,517,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Shahi Paneer with Rice,100,408,3.6,21.9,14.1,5.7,15.5,311,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Bhindi Masala medium,100,157,4.2,5.5,45.6,4.0,14.9,364,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Bhindi Masala with Rice,100,143,16.9,17.7,24.0,3.5,13.3,223,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Aloo Paratha,100,255,8.7,8.9,18.9,3.3,2.9,286,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Punjabi Matar Paneer with Roti,100,361,4.5,19.7,10.3,3.5,18.6,456,Varies widely,Recipe variants cause large nutritional differences.
Sweets/Dessert,Ladoo (Besan),100,467,3.8,25.3,57.8,1.5,39.5,237,Calcium (dairy-based); minimal vitamins otherwise,High sugar and calories.
Regional Specialty,Keralan Sambar with Rice with Rice,100,384,17.7,23.9,13.4,3.1,6.0,358,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Chole Bhature small,100,186,11.9,23.6,25.5,2.6,15.9,170,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Aloo Gobi with Rice,100,295,15.3,24.7,31.1,1.2,1.9,432,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Kadai Paneer with Rice,100,325,9.6,14.4,47.7,4.8,3.2,336,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Matar Paneer small,100,315,9.7,23.1,28.9,0.9,19.3,592,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Bhindi Masala small,100,354,4.6,9.0,57.4,2.3,12.6,377,Varies widely,Recipe variants cause large nutritional differences.
Snack/Street Food,Dahi Vada,100,359,10.7,18.8,59.2,3.7,9.5,218,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Regional Specialty,Keralan Masala Omelette small,100,333,9.7,4.8,22.6,4.4,4.5,49,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Boiled Egg small,100,226,13.3,13.1,21.7,0.6,2.2,153,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Paneer Butter Masala with Roti,100,332,12.8,21.2,40.8,5.7,6.0,419,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Butter Chicken with Roti,100,142,12.5,24.6,22.7,0.6,15.9,393,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Malai Kofta small,100,247,17.4,22.8,50.7,5.6,14.6,234,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Aloo Paratha with Rice,100,183,9.8,17.5,43.6,3.7,16.5,420,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Paneer Butter Masala medium,100,234,15.7,10.1,37.8,1.1,5.9,271,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Butter Chicken with Roti,100,412,17.8,12.6,24.1,2.6,10.8,205,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Matar Paneer with Rice,100,377,16.8,22.4,48.5,4.3,13.0,342,Varies widely,Recipe variants cause large nutritional differences.
Beverage,Masala Chai,100,104,5.1,7.6,13.2,0.0,18.7,139,Varies (fruit drinks have vitamin C); caffeine in tea/coffee,Watch added sugar.
Regional Specialty,Punjabi Tawa Fish small,100,364,3.0,23.1,20.1,1.2,14.5,371,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Baingan Bharta with Rice,100,428,17.2,6.6,25.7,5.8,19.4,338,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Aloo Paratha medium,100,190,12.4,22.8,42.3,2.2,9.1,413,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Tawa Fish with Roti,100,397,7.6,13.3,14.5,1.8,4.8,579,Varies widely,Recipe variants cause large nutritional differences.
Sweets/Dessert,Shrikhand,100,413,9.1,7.9,36.0,1.3,25.3,74,Calcium (dairy-based); minimal vitamins otherwise,High sugar and calories.
Breakfast/Tiffin,Masala Dosa,100,243,4.8,10.4,27.3,2.1,5.1,257,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Beverage,Filter Coffee,100,159,5.4,3.9,8.9,0.0,12.1,99,Varies (fruit drinks have vitamin C); caffeine in tea/coffee,Watch added sugar.
Regional Specialty,Punjabi Sambar with Rice medium,100,271,12.7,20.0,49.7,1.8,8.0,286,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Masala Omelette medium,100,274,9.3,4.3,36.0,3.9,14.2,468,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Fish Fry small,100,296,5.5,22.6,47.4,4.3,6.1,435,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Matar Paneer with Rice,100,152,11.1,3.4,54.7,5.9,9.7,333,Varies widely,Recipe variants cause large nutritional differences.
Sweets/Dessert,Gulab Jamun,100,488,5.5,22.2,50.4,2.4,53.6,208,Calcium (dairy-based); minimal vitamins otherwise,High sugar and calories.
Regional Specialty,Gujarati Fish Fry small,100,148,10.7,5.7,25.6,3.3,3.1,576,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Matar Paneer with Rice,100,210,17.0,2.8,51.8,4.8,4.1,336,Varies widely,Recipe variants cause large nutritional differences.
Sweets/Dessert,Barfi (Milk),100,476,6.9,23.3,50.2,2.5,39.2,249,Calcium (dairy-based); minimal vitamins otherwise,High sugar and calories.
Regional Specialty,Rajasthani Paneer Butter Masala with Rice,100,166,15.5,4.1,14.8,4.6,16.3,101,Varies widely,Recipe variants cause large nutritional differences.
Bread/Roti,Butter Naan,100,221,8.4,4.9,55.9,7.4,1.2,200,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Sweets/Dessert,Rasmalai,100,516,5.9,11.7,47.6,2.2,28.2,105,Calcium (dairy-based); minimal vitamins otherwise,High sugar and calories.
Beverage,Lassi (Sweet),100,91,4.0,6.4,22.0,0.0,21.0,32,Varies (fruit drinks have vitamin C); caffeine in tea/coffee,Watch added sugar.
Breakfast/Tiffin,Idli,100,263,4.0,11.6,18.9,1.7,1.7,239,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Breakfast/Tiffin,Pav Bhaji,100,108,10.2,7.2,13.9,5.6,5.0,233,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Gujarati Bhindi Masala with Roti,100,287,3.4,8.3,59.6,3.2,7.4,424,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Egg Bhurji,100,117,11.8,8.9,15.5,4.3,7.6,92,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Bengali Fish Fry with Roti,100,436,12.1,18.0,11.9,5.4,7.0,283,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Fish Fry with Roti,100,187,12.7,15.8,10.4,1.9,16.2,352,Varies widely,Recipe variants cause large nutritional differences.
Meat/Seafood,Prawn Curry,100,121,29.6,12.4,7.0,0.0,0.0,179,"Protein, B12, Iron (esp. red meat), Omega-3 (seafood)",Good protein source; fat depends on cut & cooking.
Beverage,Tender Coconut Water,100,69,5.0,3.8,22.7,0.0,1.3,89,Varies (fruit drinks have vitamin C); caffeine in tea/coffee,Watch added sugar.
Regional Specialty,Hyderabadi Chole Bhature with Rice,100,250,7.3,4.8,34.9,2.9,3.0,585,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Aloo Paratha medium,100,148,7.4,10.6,17.3,3.4,11.5,224,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Khichdi,100,284,10.9,5.4,26.0,1.9,7.4,272,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Hyderabadi Baingan Bharta medium,100,175,14.5,17.1,27.8,4.1,1.4,449,Varies widely,Recipe variants cause large nutritional differences.
Snack/Street Food,Corn Chaat,100,302,9.9,14.3,49.9,1.2,7.7,490,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Sweets/Dessert,Kulfi (Pista),100,276,3.6,19.2,67.1,1.4,44.4,51,Calcium (dairy-based); minimal vitamins otherwise,High sugar and calories.
Meat/Seafood,Rogan Josh,100,159,18.2,11.2,7.2,0.0,0.0,587,"Protein, B12, Iron (esp. red meat), Omega-3 (seafood)",Good protein source; fat depends on cut & cooking.
Rice Dish,Brown Rice,100,253,3.6,3.3,46.8,1.6,1.4,83,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Punjabi Fish Fry with Roti,100,160,8.9,21.6,11.7,3.6,10.6,190,Varies widely,Recipe variants cause large nutritional differences.
Rice Dish,Chicken Biryani,100,133,2.5,4.8,31.1,0.5,3.2,213,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Gujarati Kadai Paneer with Roti,100,216,15.1,15.5,43.6,1.7,4.6,380,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Tawa Fish medium,100,150,3.3,15.5,55.9,4.8,17.0,413,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Baingan Bharta with Rice,100,319,3.1,6.9,23.9,4.4,16.0,144,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Paneer Butter Masala with Rice,100,339,15.7,24.4,50.9,3.9,13.0,66,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Matar Paneer with Roti,100,383,7.9,11.2,14.8,5.9,9.8,294,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Bhindi Masala with Roti,100,273,10.3,3.8,22.6,1.9,12.7,240,Varies widely,Recipe variants cause large nutritional differences.
Snack/Street Food,Chana Jor Garam,100,455,8.8,17.0,49.3,2.9,9.4,293,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Regional Specialty,Gujarati Egg Curry with Rice,100,418,11.8,23.1,13.7,6.0,4.4,494,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Tawa Fish medium,100,251,14.8,18.6,12.4,2.9,8.7,210,Varies widely,Recipe variants cause large nutritional differences.
Sweets/Dessert,Ladoo (Coconut),100,312,5.7,25.2,56.7,3.0,40.8,213,Calcium (dairy-based); minimal vitamins otherwise,High sugar and calories.
Regional Specialty,Bengali Baingan Bharta with Rice,100,289,17.5,11.9,10.5,1.9,10.5,571,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Egg Curry small,100,238,16.5,14.0,45.0,2.5,19.5,126,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Bhindi Masala with Roti,100,281,3.2,6.8,17.2,5.0,16.5,118,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Butter Chicken small,100,362,6.8,19.3,19.6,2.5,15.7,379,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Egg Curry with Roti,100,185,4.4,21.5,50.4,1.2,18.9,91,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Egg Curry medium,100,208,8.3,22.9,23.7,3.0,3.4,291,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Butter Chicken medium,100,344,3.7,10.4,46.0,5.8,12.4,499,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Bhindi Masala medium,100,390,16.8,7.3,55.1,4.3,11.6,317,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Butter Chicken medium,100,434,8.3,15.1,19.4,4.2,10.7,409,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Masala Omelette with Roti,100,361,16.3,13.5,53.4,2.6,6.3,95,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Kadai Paneer medium,100,190,15.6,7.3,45.4,0.6,10.4,422,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Chole Bhature medium,100,143,6.3,24.6,12.7,1.6,18.9,180,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Masala Omelette with Rice,100,327,8.8,2.8,45.4,3.6,4.2,267,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Baingan Bharta small,100,398,3.6,24.3,45.1,5.0,12.1,127,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Kadai Paneer medium,100,271,5.3,9.6,29.0,5.1,10.2,385,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Chole Bhature small,100,300,10.6,9.1,32.6,0.8,16.7,118,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Bhindi Masala small,100,273,5.4,7.5,51.7,2.6,18.0,379,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Fish Fry medium,100,386,15.4,11.1,15.1,3.3,13.4,423,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Tawa Fish with Roti,100,200,14.0,12.0,42.0,3.2,6.7,405,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Masala Omelette small,100,364,8.7,2.9,20.0,2.6,0.8,369,Varies widely,Recipe variants cause large nutritional differences.
Fruit,Mango,100,89,1.3,0.6,10.7,1.1,9.1,5,"Vitamin C, Potassium, Dietary Fiber",Fresh fruit; vitamins vary by type.
Regional Specialty,Bengali Egg Curry small,100,404,14.2,7.7,33.1,4.9,3.2,52,Varies widely,Recipe variants cause large nutritional differences.
Sweets/Dessert,Sooji Halwa,100,260,8.9,24.4,45.2,0.2,32.3,212,Calcium (dairy-based); minimal vitamins otherwise,High sugar and calories.
Regional Specialty,Gujarati Tawa Fish with Rice,100,331,10.4,10.7,37.3,1.1,9.9,270,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Sambar,100,260,4.4,10.8,28.7,2.9,5.2,169,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Punjabi Egg Curry with Rice,100,291,3.0,17.1,52.5,4.5,2.5,582,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Chole Bhature with Roti,100,259,9.6,11.8,40.4,2.8,4.7,564,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Fish Fry with Rice,100,424,6.9,22.9,55.7,0.9,8.1,446,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Vegetable Pulao,100,260,5.7,10.3,29.1,1.8,6.3,188,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Punjabi Sambar with Rice with Rice,100,164,16.4,5.2,16.2,4.5,7.4,479,Varies widely,Recipe variants cause large nutritional differences.
Snack/Street Food,Momos (Veg),100,313,5.1,34.0,26.9,1.5,4.9,421,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Regional Specialty,Hyderabadi Masala Omelette medium,100,291,12.8,7.1,21.2,5.3,8.7,379,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Bhindi Masala with Roti,100,164,5.8,12.3,37.7,2.7,1.0,402,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Egg Curry medium,100,284,8.8,6.1,25.9,1.7,18.0,327,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Sambar with Rice medium,100,379,7.3,18.4,48.4,2.8,8.3,589,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Dal Makhani,100,130,5.2,2.8,12.6,3.8,5.1,51,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Bengali Malai Kofta with Rice,100,169,8.9,20.3,27.0,5.7,15.2,243,Varies widely,Recipe variants cause large nutritional differences.
Rice Dish,Tamarind Rice,100,182,3.8,2.4,53.3,3.0,2.6,256,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Rajasthani Masala Omelette with Rice,100,279,4.9,10.8,39.4,1.4,16.6,345,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Malai Kofta small,100,280,17.4,12.6,36.7,3.5,13.7,310,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Butter Chicken with Rice,100,239,11.0,9.1,50.4,3.1,16.8,416,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Matar Paneer small,100,123,6.9,7.4,47.7,5.7,6.4,51,Varies widely,Recipe variants cause large nutritional differences.
Snack/Street Food,Frankie,100,388,4.1,34.8,56.1,3.3,2.1,257,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Regional Specialty,Rajasthani Sambar with Rice with Roti,100,245,3.7,10.4,56.0,1.5,19.2,76,Varies widely,Recipe variants cause large nutritional differences.
Bread/Roti,Chapati,100,254,7.1,4.8,56.2,2.5,4.1,340,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Kashmiri Dum Aloo,100,255,14.8,16.4,43.1,5.6,8.8,597,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Baingan Bharta medium,100,192,8.2,9.9,49.2,3.4,7.3,139,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Matar Paneer with Roti,100,308,12.2,7.0,16.7,1.3,15.1,422,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Aloo Paratha with Roti,100,175,13.1,12.8,41.0,5.7,6.9,266,Varies widely,Recipe variants cause large nutritional differences.
Snack/Street Food,Momos (Chicken),100,403,10.3,21.8,32.3,3.9,3.3,546,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Regional Specialty,Hyderabadi Butter Chicken small,100,222,15.0,5.2,22.5,4.0,17.5,145,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Rajma,100,151,9.4,7.2,30.8,2.9,7.3,165,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Breakfast/Tiffin,Curd Rice,100,237,9.8,12.0,21.5,2.5,2.1,50,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Rajasthani Shahi Paneer with Rice,100,186,9.5,22.9,12.8,1.2,3.5,208,Varies widely,Recipe variants cause large nutritional differences.
Sweets/Dessert,Kheer,100,287,5.6,27.3,53.0,2.2,33.4,122,Calcium (dairy-based); minimal vitamins otherwise,High sugar and calories.
Regional Specialty,Punjabi Shahi Paneer with Rice,100,293,17.6,13.4,34.9,5.6,10.6,124,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Butter Chicken with Rice,100,443,5.7,5.1,45.8,5.7,1.2,246,Varies widely,Recipe variants cause large nutritional differences.
Fruit,Sapota (Chikoo),100,71,1.3,0.2,12.4,3.4,9.4,4,"Vitamin C, Potassium, Dietary Fiber",Fresh fruit; vitamins vary by type.
Regional Specialty,Rajasthani Tawa Fish with Roti,100,255,12.9,8.8,14.8,2.7,11.2,542,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Matar Paneer medium,100,289,5.4,12.6,22.9,1.5,14.9,342,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Chole,100,167,7.7,9.9,39.0,5.6,6.3,226,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Gujarati Shahi Paneer medium,100,184,17.6,16.8,32.5,4.2,7.2,226,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Egg Curry with Roti,100,241,9.3,24.1,58.6,1.3,6.0,84,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Aloo Gobi small,100,401,10.7,15.2,23.4,3.5,19.8,595,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Poha,100,286,7.1,3.6,37.8,1.4,3.1,210,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Salad/Side,Kachumber Salad,100,44,2.3,4.0,2.5,0.7,4.6,175,Varies,
Rice Dish,Veg Biryani,100,207,3.0,6.7,30.6,2.2,3.7,266,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Bengali Sambar with Rice small,100,343,13.9,21.5,12.9,1.0,9.0,504,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Rasam,100,235,5.3,9.2,38.4,4.4,1.8,276,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Gujarati Fish Fry medium,100,411,3.4,6.4,51.6,5.1,5.4,507,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Baingan Bharta with Roti,100,425,5.1,10.8,19.3,4.0,14.0,217,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Uttapam,100,101,9.8,4.1,23.8,2.4,2.5,245,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Keralan Malai Kofta with Roti,100,267,4.8,17.6,29.0,5.9,16.5,189,Varies widely,Recipe variants cause large nutritional differences.
