Category,Item,Serving_g,Calories_kcal_per_100g,Protein_g_per_100g,Fat_g_per_100g,Carbs_g_per_100g,Fiber_g_per_100g,Sugars_g_per_100g,Sodium_mg_per_100g,Key_vitamins_minerals,Notes
Regional Specialty,Hyderabadi Egg Curry with Roti,100,282,9.8,7.4,57.2,1.2,15.5,151,Varies widely,Recipe variants cause large nutritional differences.
Snack/Street Food,Sev Puri,100,333,9.1,26.0,29.7,4.5,6.0,296,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Regional Specialty,Goan Fish Curry,100,432,17.4,4.3,48.1,3.9,5.7,123,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Bhindi Masala with Rice,100,160,8.6,11.3,38.3,5.9,4.9,122,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Malai Kofta medium,100,432,10.3,24.0,24.0,2.1,18.9,344,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Palak Paneer,100,208,6.7,13.2,13.5,4.3,5.5,65,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Punjabi Matar Paneer medium,100,413,6.5,19.0,52.5,0.7,18.5,467,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Sambar with Rice small,100,291,15.1,8.3,13.2,4.4,11.7,118,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Toor Dal,100,118,9.4,2.8,13.9,1.2,3.3,181,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Breakfast/Tiffin,Thepla,100,174,11.9,13.1,36.3,2.9,4.2,263,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Punjabi Chole Bhature with Rice,100,410,11.9,22.3,17.8,4.6,1.5,123,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Fish Fry medium,100,184,3.6,3.8,44.2,1.6,16.5,191,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Sarson Ka Saag,100,163,17.9,4.7,48.2,3.8,15.9,271,Varies widely,Recipe variants cause large nutritional differences.
Bread/Roti,Bhatura,100,220,6.3,5.0,55.5,2.4,0.8,260,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Punjabi Paneer Butter Masala with Rice,100,309,13.1,19.1,57.3,2.8,15.0,198,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Fish Fry medium,100,145,5.4,15.2,58.2,5.2,13.1,251,Varies widely,Recipe variants cause large nutritional differences.
Salad/Side,Raita (Boondi),100,107,2.9,2.2,1.8,4.7,5.0,343,Varies,
Regional Specialty,Assamese Fish Tenga,100,235,12.7,22.9,51.3,0.9,3.7,354,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Egg Curry with Rice,100,186,6.6,8.0,25.8,4.9,14.2,374,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Paneer Butter Masala small,100,146,17.5,15.8,27.6,3.7,4.6,533,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Chole Bhature medium,100,389,4.4,17.4,35.4,0.6,6.5,259,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Baingan Bharta with Rice,100,280,4.8,9.0,19.2,4.3,10.5,468,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Aloo Paratha medium,100,248,9.9,8.9,60.0,5.2,2.6,430,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Chole Bhature with Roti,100,441,7.7,12.1,33.4,4.0,16.0,97,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Aloo Gobi small,100,192,11.7,8.2,30.7,3.0,12.9,135,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Aloo Gobi small,100,448,17.9,5.3,36.5,0.5,13.2,490,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Aloo Gobi medium,100,141,14.4,12.2,20.9,2.8,14.9,293,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Fish Fry with Roti,100,135,6.6,13.2,32.3,5.8,9.8,398,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Shahi Paneer with Roti,100,348,6.2,16.1,44.7,6.0,4.4,178,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Tawa Fish medium,100,222,4.5,6.8,41.9,5.9,9.7,158,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Aloo Paratha with Rice,100,207,5.6,16.0,29.1,4.3,10.2,186,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Sambar with Rice with Roti,100,394,7.9,15.5,48.2,4.1,13.0,357,Varies widely,Recipe variants cause large nutritional differences.
Sweets/Dessert,Phirni,100,374,3.2,22.5,65.7,2.6,51.0,219,Calcium (dairy-based); minimal vitamins otherwise,High sugar and calories.
Regional Specialty,Punjabi Shahi Paneer small,100,287,12.9,9.0,40.1,2.8,14.0,399,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Paneer Butter Masala medium,100,175,10.4,22.9,13.7,0.9,12.4,107,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Chole Bhature medium,100,268,4.7,2.5,26.2,4.9,12.6,410,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Shahi Paneer with Rice,100,178,3.4,6.3,35.9,5.5,2.8,306,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Aloo Gobi with Roti,100,201,16.1,22.2,14.7,2.5,2.1,209,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Kadai Paneer small,100,193,15.1,23.0,38.1,5.8,11.4,177,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Chole Bhature with Rice,100,357,14.3,19.5,32.4,5.6,11.5,370,Varies widely,Recipe variants cause large nutritional differences.
Beverage,Nimbu Pani,100,59,2.7,2.7,26.5,0.0,7.0,107,Varies (fruit drinks have vitamin C); caffeine in tea/coffee,Watch added sugar.
Regional Specialty,Rajasthani Dal Baati Churma,100,387,8.7,22.9,24.9,3.7,8.9,101,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Malai Kofta with Roti,100,428,10.6,13.5,12.3,1.3,7.0,525,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Aloo Paratha with Rice,100,412,8.4,8.8,45.0,0.6,16.7,445,Varies widely,Recipe variants cause large nutritional differences.
Fruit,Jackfruit,100,89,0.9,0.3,20.7,1.8,16.1,0,"Vitamin C, Potassium, Dietary Fiber",Fresh fruit; vitamins vary by type.
Regional Specialty,Rajasthani Aloo Paratha medium,100,323,17.5,20.5,28.3,4.8,0.8,589,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Baingan Bharta medium,100,356,17.1,6.8,49.9,5.1,1.8,458,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Sambar with Rice with Roti,100,310,4.9,20.0,23.4,5.4,15.5,70,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Matar Paneer with Rice,100,244,3.8,22.8,21.3,1.8,2.5,378,Varies widely,Recipe variants cause large nutritional differences.
Beverage,Mango Lassi,100,62,3.9,6.2,19.9,0.0,18.9,63,Varies (fruit drinks have vitamin C); caffeine in tea/coffee,Watch added sugar.
Meat/Seafood,Fried Fish,100,202,17.7,3.2,5.3,0.0,0.0,330,"Protein, B12, Iron (esp. red meat), Omega-3 (seafood)",Good protein source; fat depends on cut & cooking.
Regional Specialty,Bengali Paneer Butter Masala with Rice,100,421,7.9,6.0,12.6,4.6,10.8,105,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Paneer Butter Masala small,100,288,14.6,20.1,39.8,2.0,19.7,173,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Chole Bhature small,100,140,6.7,12.1,32.0,3.4,3.6,421,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Shahi Paneer with Roti,100,227,14.5,11.6,41.9,3.2,12.7,336,Varies widely,Recipe variants cause large nutritional differences.
Sweets/Dessert,Halwa (Carrot),100,282,5.3,13.9,48.6,0.4,49.2,119,Calcium (dairy-based); minimal vitamins otherwise,High sugar and calories.
Regional Specialty,Keralan Tawa Fish medium,100,397,9.2,19.4,21.4,0.8,8.0,575,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Shahi Paneer with Roti,100,193,15.7,17.6,31.9,1.2,5.1,415,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Masala Omelette with Roti,100,393,12.6,12.9,57.0,2.5,6.4,214,Varies widely,Recipe variants cause large nutritional differences.
Salad/Side,Raita (Cucumber),100,66,3.7,1.5,12.1,4.0,5.2,56,Varies,
Regional Specialty,Gujarati Matar Paneer small,100,332,13.5,23.0,47.9,4.9,16.6,293,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Egg Curry medium,100,151,15.5,24.6,16.5,5.0,7.8,126,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Tawa Fish small,100,447,13.9,9.7,10.6,1.7,14.0,398,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Baingan Bharta small,100,447,7.7,10.9,29.6,1.1,7.4,508,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Sambar with Rice medium,100,258,15.4,15.1,16.0,4.2,1.5,268,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Shahi Paneer small,100,248,5.9,24.0,23.7,3.9,12.5,135,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Malai Kofta with Rice,100,370,13.6,8.9,50.8,2.5,13.6,466,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Malai Kofta medium,100,195,15.3,7.6,38.6,4.4,4.2,491,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Kadai Paneer medium,100,318,6.6,6.7,42.3,5.6,17.0,134,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Sambar with Rice with Roti,100,281,14.9,7.7,42.2,1.9,12.2,331,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Masala Omelette with Roti,100,268,9.8,14.0,36.2,2.9,13.9,177,Varies widely,Recipe variants cause large nutritional differences.
Bread/Roti,Makki Ki Roti,100,269,6.4,3.9,31.5,4.9,4.6,335,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Gujarati Chole Bhature medium,100,450,16.0,21.7,40.8,3.3,9.5,82,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Aloo Paratha small,100,444,13.6,4.3,18.3,2.1,1.1,372,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Aloo Gobi medium,100,143,4.5,20.0,33.0,1.2,17.2,491,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Egg Curry with Roti,100,222,12.6,20.3,22.5,6.0,11.1,59,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Kadai Paneer with Rice,100,121,14.3,24.5,33.2,4.5,8.8,428,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Sambar with Rice with Roti,100,287,4.3,12.5,28.4,2.1,15.8,288,Varies widely,Recipe variants cause large nutritional differences.
Snack/Street Food,Pani Puri,100,366,8.2,33.6,56.4,4.1,7.0,227,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Regional Specialty,Punjabi Fish Fry with Rice,100,334,17.5,17.8,56.8,3.6,5.1,346,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Shahi Paneer medium,100,377,12.6,15.6,39.0,1.4,12.7,385,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Kerala Stew,100,200,6.6,14.7,17.8,2.7,13.9,521,Varies widely,Recipe variants cause large nutritional differences.
Fruit,Papaya,100,90,0.3,0.4,19.6,1.2,13.4,0,"Vitamin C, Potassium, Dietary Fiber",Fresh fruit; vitamins vary by type.
Regional Specialty,Rajasthani Tawa Fish with Rice,100,430,16.3,5.6,15.1,1.6,4.2,593,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Malai Kofta with Roti,100,418,7.6,22.7,53.6,4.0,12.1,311,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Aloo Gobi with Roti,100,269,3.5,7.2,24.4,4.8,11.5,547,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Aloo Paratha with Roti,100,307,11.0,23.0,51.5,1.9,16.6,533,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Aloo Gobi medium,100,299,13.8,16.4,17.6,2.8,13.9,262,Varies widely,Recipe variants cause large nutritional differences.
Rice Dish,Plain White Rice,100,223,2.6,9.0,29.8,2.6,2.7,157,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Punjabi Bhindi Masala with Rice,100,150,12.3,17.3,40.8,3.2,10.0,46,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Chole Bhature with Roti,100,350,4.6,22.7,27.2,4.4,10.3,216,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Kadai Paneer with Roti,100,237,6.7,10.0,23.8,5.7,14.6,155,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Aloo Paratha with Roti,100,260,3.1,21.9,48.9,5.9,18.3,548,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Sambar with Rice medium,100,433,12.1,9.1,47.1,4.6,2.8,180,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Aloo Paratha small,100,266,14.6,7.3,50.1,1.7,4.2,296,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Kadai Paneer with Rice,100,314,10.0,16.9,25.4,2.5,17.7,517,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Matar Paneer medium,100,131,8.9,20.8,47.3,3.7,1.4,392,Varies widely,Recipe variants cause large nutritional differences.
Sweets/Dessert,Kulfi (Mango),100,486,5.3,10.5,44.5,2.3,41.9,214,Calcium (dairy-based); minimal vitamins otherwise,High sugar and calories.
Regional Specialty,Bengali Aloo Gobi with Roti,100,187,6.7,18.4,51.4,4.7,13.7,541,Varies widely,Recipe variants cause large nutritional differences.
Fruit,Pineapple,100,71,1.0,0.2,16.6,3.1,10.8,0,"Vitamin C, Potassium, Dietary Fiber",Fresh fruit; vitamins vary by type.
Regional Specialty,Bengali Aloo Paratha small,100,399,5.4,12.2,27.3,3.7,13.0,474,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Shahi Paneer small,100,157,9.8,22.7,32.3,1.0,13.8,367,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Kadai Paneer with Rice,100,251,14.5,13.2,46.2,4.6,9.5,400,Varies widely,Recipe variants cause large nutritional differences.
Meat/Seafood,Chicken Curry,100,133,19.4,9.9,2.4,0.0,0.0,427,"Protein, B12, Iron (esp. red meat), Omega-3 (seafood)",Good protein source; fat depends on cut & cooking.
Regional Specialty,Punjabi Fish Fry small,100,181,17.2,12.3,57.5,1.4,4.6,237,Varies widely,Recipe variants cause large nutritional differences.
Sweets/Dessert,Ice Cream (Vanilla),100,379,4.6,29.3,46.2,1.6,54.6,188,Calcium (dairy-based); minimal vitamins otherwise,High sugar and calories.
Regional Specialty,Punjabi Chole Bhature small,100,178,8.2,4.6,43.9,3.8,10.8,355,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Chole Bhature with Roti,100,290,4.2,17.3,55.8,2.2,13.3,441,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Shahi Paneer with Roti,100,202,7.8,18.3,27.3,5.7,18.0,120,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Kadai Paneer medium,100,244,13.4,18.2,29.8,1.8,6.8,329,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Masala Omelette with Rice,100,310,6.9,8.8,52.6,3.1,17.4,112,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Baingan Bharta medium,100,215,12.6,11.9,11.5,3.9,4.3,479,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Kadai Paneer with Roti,100,329,5.2,10.7,47.7,3.1,17.1,347,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Sambar with Rice medium,100,374,9.8,10.3,35.0,3.6,7.7,301,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Masala Omelette medium,100,283,13.2,18.6,42.8,6.0,5.6,468,Varies widely,Recipe variants cause large nutritional differences.
Snack/Street Food,Keema Pav,100,194,14.7,24.4,25.8,1.8,6.0,665,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Regional Specialty,Keralan Fish Fry with Rice,100,257,12.8,13.8,53.2,5.8,13.8,525,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Butter Chicken small,100,243,14.0,16.4,48.6,4.5,7.0,85,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Boiled Egg with Roti,100,254,15.5,24.4,27.9,2.8,3.6,548,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Butter Chicken small,100,425,11.0,16.5,38.8,4.5,6.2,41,Varies widely,Recipe variants cause large nutritional differences.
Snack/Street Food,Schezwan Chowmein (Indian),100,215,6.3,29.3,33.7,5.7,5.6,102,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Regional Specialty,Rajasthani Egg Curry with Rice,100,271,10.5,22.3,34.0,1.0,8.0,469,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Matar Paneer with Roti,100,329,5.7,5.1,42.1,4.5,19.3,423,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Tawa Fish small,100,234,13.0,20.7,28.9,4.5,6.2,221,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Aloo Gobi medium,100,120,6.2,3.8,39.7,3.4,9.2,48,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Sambar with Rice with Roti,100,187,8.8,21.3,31.0,3.5,3.9,522,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Baingan Bharta medium,100,436,5.6,17.5,50.0,5.6,12.0,177,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Kadai Paneer medium,100,154,4.5,2.8,39.9,4.4,1.4,85,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Matar Paneer with Roti,100,346,4.7,6.7,39.2,1.0,10.5,96,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Aloo Gobi medium,100,263,12.0,5.9,59.0,2.1,11.7,566,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Baingan Bharta with Roti,100,157,9.7,15.8,39.1,3.4,18.5,468,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Malabar Parotta,100,269,3.5,8.6,24.1,5.2,1.9,279,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Paneer Butter Masala small,100,293,8.3,6.2,17.2,4.1,1.9,71,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Kadai Paneer with Roti,100,170,15.0,18.6,48.1,2.3,4.5,360,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Egg Curry medium,100,417,4.4,5.1,51.0,0.9,11.6,485,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Bhindi Masala with Rice,100,304,4.6,2.1,25.4,2.5,5.8,175,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Masala Omelette medium,100,193,7.7,18.5,48.9,3.2,12.8,221,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Aloo Gobi with Rice,100,371,9.2,21.3,34.4,1.0,1.1,265,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Shahi Paneer with Rice,100,158,13.1,11.3,35.7,4.6,3.6,71,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Masala Omelette medium,100,129,6.4,18.7,16.6,4.5,12.0,213,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Kadai Paneer with Roti,100,206,5.1,14.6,19.2,5.4,19.8,100,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Paneer Butter Masala medium,100,396,6.8,6.0,43.1,0.6,0.8,283,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Aloo Paratha medium,100,293,12.3,11.1,14.0,2.3,13.6,586,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Chole Bhature with Rice,100,350,16.6,15.1,19.4,3.8,10.3,103,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Malai Kofta with Roti,100,266,11.1,21.5,31.5,5.4,14.7,452,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Shahi Paneer medium,100,348,3.6,22.0,27.6,6.0,5.9,98,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Mangalore Fish Curry,100,424,14.2,15.1,24.4,1.2,13.9,452,Varies widely,Recipe variants cause large nutritional differences.
Salad/Side,Pickle (Mango),100,70,1.7,2.7,13.7,5.2,3.6,365,Varies,
Regional Specialty,Gujarati Baingan Bharta with Rice,100,344,13.8,12.4,13.4,0.7,14.4,63,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Butter Chicken medium,100,300,11.2,20.7,18.8,4.8,9.6,530,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Egg Curry with Rice,100,149,15.1,12.8,27.9,3.7,5.0,203,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Bhindi Masala medium,100,345,8.0,20.8,53.0,5.9,3.2,368,Varies widely,Recipe variants cause large nutritional differences.
Snack/Street Food,Bombay Sandwich,100,435,14.2,15.9,46.7,3.1,5.3,583,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Regional Specialty,Bengali Matar Paneer with Rice,100,410,13.1,6.4,40.5,4.0,8.4,477,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Egg Curry medium,100,351,7.6,8.1,16.0,1.4,13.9,81,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Biryani,100,153,9.0,3.7,41.5,0.8,3.4,351,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Aloo Gobi medium,100,326,10.7,8.4,56.8,2.5,19.0,375,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Bhindi Masala medium,100,316,14.3,5.2,59.4,4.5,10.3,394,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Aloo Paratha with Rice,100,317,17.8,20.2,42.6,1.3,19.3,169,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Aloo Gobi with Rice,100,272,16.1,2.7,23.1,5.2,2.2,160,Varies widely,Recipe variants cause large nutritional differences.
Rice Dish,Pulao,100,187,2.6,2.0,42.1,1.5,2.6,233,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Gujarati Fish Fry with Rice,100,273,17.6,12.2,51.3,2.0,8.6,131,Varies widely,Recipe variants cause large nutritional differences.
Sweets/Dessert,Jalebi,100,370,7.4,11.4,38.0,0.3,28.6,141,Calcium (dairy-based); minimal vitamins otherwise,High sugar and calories.
Regional Specialty,Hyderabadi Matar Paneer small,100,388,10.4,23.6,52.6,3.1,4.3,155,Varies widely,Recipe variants cause large nutritional differences.
Fruit,Apple,100,69,1.1,0.5,11.7,2.8,11.7,0,"Vitamin C, Potassium, Dietary Fiber",Fresh fruit; vitamins vary by type.
Regional Specialty,Gujarati Shahi Paneer with Roti,100,304,11.3,10.5,50.2,3.5,12.4,128,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Chole Bhature with Roti,100,237,10.5,21.2,50.3,0.9,17.3,83,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Sambar with Rice small,100,133,15.7,17.1,25.1,3.3,10.4,441,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Paneer Butter Masala small,100,231,9.7,23.9,52.8,1.0,13.9,597,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Bread Omelette,100,180,4.9,8.5,36.8,4.2,2.0,85,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Bread/Roti,Missi Roti,100,271,10.0,4.9,35.7,3.3,0.8,388,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Breakfast/Tiffin,Masoor Dal,100,221,5.2,8.1,23.4,1.5,5.6,140,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Gujarati Paneer Butter Masala with Roti,100,270,9.8,15.9,15.0,4.4,17.1,260,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Aloo Paratha with Roti,100,238,9.9,7.8,22.8,0.6,16.2,334,Varies widely,Recipe variants cause large nutritional differences.
