Category,Item,Serving_g,Calories_kcal_per_100g,Protein_g_per_100g,Fat_g_per_100g,Carbs_g_per_100g,Fiber_g_per_100g,Sugars_g_per_100g,Sodium_mg_per_100g,Key_vitamins_minerals,Notes
Regional Specialty,Rajasthani Sambar with Rice small,100,403,15.0,18.4,42.8,1.7,5.3,367,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Baingan Bharta with Rice,100,375,5.1,9.0,22.6,1.3,8.8,426,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Butter Chicken with Rice,100,154,17.3,14.5,49.3,3.3,0.9,521,Varies widely,Recipe variants cause large nutritional differences.
Fruit,Grapes,100,84,1.4,0.4,17.3,1.6,8.1,3,"Vitamin C, Potassium, Dietary Fiber",Fresh fruit; vitamins vary by type.
Snack/Street Food,Medu Vada,100,263,14.7,29.9,54.7,1.1,7.6,440,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Regional Specialty,Bengali Shahi Paneer medium,100,297,13.6,14.6,24.5,2.1,3.6,218,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Aloo Gobi with Roti,100,152,14.9,11.1,58.4,5.0,10.1,370,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Baingan Bharta small,100,306,4.7,15.0,39.6,3.5,13.8,67,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Aloo Gobi with Roti,100,165,14.0,4.4,25.7,5.3,3.2,176,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Paneer Butter Masala with Roti,100,431,16.9,21.1,23.4,1.5,14.2,356,Varies widely,Recipe variants cause large nutritional differences.
Rice Dish,Lemon Rice,100,145,2.4,2.9,30.6,3.8,3.6,275,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Bengali Tawa Fish with Roti,100,192,8.0,3.8,27.3,2.3,12.9,130,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Sambar with Rice small,100,157,3.3,3.6,23.1,0.7,1.7,447,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Butter Chicken with Roti,100,379,14.6,21.2,54.2,0.7,7.1,174,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Matar Paneer with Roti,100,139,3.1,15.1,15.4,5.9,6.0,596,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Baingan Bharta with Roti,100,405,11.7,15.2,32.3,2.7,15.6,552,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Malai Kofta with Roti,100,182,7.0,7.7,14.8,2.1,8.0,468,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Egg Curry with Rice,100,230,15.5,9.5,14.6,1.9,7.4,565,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Upma,100,186,3.9,6.9,22.1,2.7,2.9,61,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Punjabi Malai Kofta medium,100,201,10.5,13.8,34.9,2.2,1.0,442,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Tawa Fish small,100,235,15.6,15.0,17.6,4.3,2.4,392,Varies widely,Recipe variants cause large nutritional differences.
Meat/Seafood,Mutton Curry,100,294,17.9,5.0,5.4,0.0,0.0,239,"Protein, B12, Iron (esp. red meat), Omega-3 (seafood)",Good protein source; fat depends on cut & cooking.
Regional Specialty,Keralan Butter Chicken with Roti,100,142,14.9,22.4,25.8,2.2,8.3,596,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Egg Curry medium,100,241,11.9,20.5,44.9,5.5,1.1,400,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Butter Chicken with Rice,100,343,4.4,22.9,50.8,5.4,18.6,464,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Egg Curry small,100,315,14.7,10.3,37.2,3.2,18.3,554,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Paneer Butter Masala small,100,340,9.8,7.3,26.9,3.0,8.6,137,Varies widely,Recipe variants cause large nutritional differences.
Meat/Seafood,Grilled Chicken (Tandoori),100,231,23.3,8.8,10.0,0.0,0.0,388,"Protein, B12, Iron (esp. red meat), Omega-3 (seafood)",Good protein source; fat depends on cut & cooking.
Regional Specialty,Gujarati Matar Paneer medium,100,425,16.1,3.9,32.3,4.4,2.0,154,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Butter Chicken small,100,170,15.6,16.9,49.6,1.3,6.1,523,Varies widely,Recipe variants cause large nutritional differences.
Snack/Street Food,Bhel Puri,100,395,11.0,18.2,48.7,1.9,6.1,515,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Rice Dish,Egg Fried Rice,100,187,2.8,5.0,48.2,2.5,0.9,291,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Bread/Roti,Naan,100,212,6.3,8.0,55.1,7.8,4.7,260,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Gujarati Malai Kofta small,100,416,11.7,18.6,39.2,1.4,12.8,429,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Bhindi Masala small,100,377,15.2,17.5,50.3,5.5,2.6,138,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Chole Bhature medium,100,264,8.8,19.8,43.9,0.8,12.8,382,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Tawa Fish with Rice,100,277,14.8,12.8,54.7,2.0,13.0,436,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Moong Dal,100,160,5.5,8.3,27.1,4.6,7.2,197,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Bengali Sambar with Rice with Rice,100,395,12.2,8.4,25.5,3.3,4.5,199,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Shahi Paneer with Roti,100,337,4.2,15.9,51.1,3.5,6.8,121,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Malai Kofta medium,100,378,9.8,14.6,51.3,3.9,12.4,171,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Aloo Gobi with Roti,100,241,6.1,19.0,44.5,5.2,12.4,478,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Matar Paneer medium,100,253,12.8,17.9,13.1,1.2,6.5,455,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Paneer Butter Masala with Roti,100,184,14.8,6.7,51.5,3.5,11.9,278,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Aloo Gobi small,100,146,8.9,9.0,45.0,1.8,13.3,137,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Egg Curry with Roti,100,171,6.7,7.5,36.7,4.9,14.9,264,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Aloo Paratha with Roti,100,240,12.5,23.2,59.9,4.6,9.0,140,Varies widely,Recipe variants cause large nutritional differences.
Snack/Street Food,Pav Bhaji (Snack),100,460,13.0,16.2,24.5,4.9,6.5,429,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Regional Specialty,Punjabi Aloo Paratha small,100,127,13.8,11.4,42.7,1.3,9.7,311,Varies widely,Recipe variants cause large nutritional differences.
Snack/Street Food,Chicken Roll,100,304,8.5,11.9,23.6,4.0,7.7,239,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Regional Specialty,Hyderabadi Masala Omelette small,100,405,5.7,4.2,16.4,1.9,16.3,227,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Besan Chilla,100,193,4.5,6.6,30.8,4.5,5.8,68,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Punjabi Bhindi Masala with Roti,100,392,11.3,2.3,36.5,2.0,19.6,57,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Fish Fry with Rice,100,145,16.8,18.2,23.7,5.0,10.3,166,Varies widely,Recipe variants cause large nutritional differences.
Sweets/Dessert,Rasgulla,100,336,7.3,12.8,56.6,1.9,23.3,212,Calcium (dairy-based); minimal vitamins otherwise,High sugar and calories.
Regional Specialty,Keralan Matar Paneer medium,100,188,12.8,10.0,18.9,3.5,10.8,268,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Semolina Rava Dosa,100,156,12.0,3.8,25.8,4.8,7.0,89,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Keralan Aloo Paratha medium,100,139,7.6,13.3,14.9,5.4,3.1,504,Varies widely,Recipe variants cause large nutritional differences.
Rice Dish,Jeera Rice,100,196,4.3,9.4,57.4,0.5,2.7,194,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Hyderabadi Aloo Gobi small,100,204,12.2,20.1,50.7,4.9,11.6,585,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Fish Fry small,100,145,14.2,23.2,54.9,0.6,16.4,350,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Sambar with Rice medium,100,245,5.3,23.4,11.2,3.5,12.9,49,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Butter Chicken medium,100,191,14.4,12.8,40.8,5.5,0.9,260,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Sambar with Rice with Rice,100,125,5.5,23.9,36.2,4.8,14.6,210,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Matar Paneer small,100,363,10.2,6.6,58.2,2.3,13.1,131,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Tawa Fish with Rice,100,213,12.0,23.2,58.4,1.7,11.5,548,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Tawa Fish with Rice,100,157,8.6,23.7,29.8,1.1,6.4,179,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Bhindi Masala with Rice,100,147,4.5,7.3,13.8,3.8,12.5,446,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Shahi Paneer medium,100,347,14.4,15.2,36.5,2.7,13.2,295,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Butter Chicken small,100,425,8.7,5.7,51.6,4.7,16.3,209,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Butter Chicken medium,100,384,15.8,8.6,48.2,2.0,18.2,190,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Matar Paneer small,100,352,5.0,11.6,38.2,3.6,13.6,355,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Fish Fry medium,100,174,11.4,4.3,24.3,3.4,7.2,460,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Shahi Paneer small,100,448,17.3,13.1,50.2,4.3,6.3,114,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Masala Omelette small,100,295,17.9,13.3,47.5,1.4,18.2,453,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Fish Fry with Rice,100,255,8.7,13.2,40.4,0.7,5.9,187,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Kadai Paneer small,100,136,15.1,11.6,48.3,5.4,0.8,251,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Baingan Bharta with Roti,100,444,10.4,15.2,22.1,2.6,16.4,442,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Malai Kofta with Rice,100,280,9.3,11.5,20.2,3.3,12.4,522,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Chole Bhature with Rice,100,153,7.9,14.8,29.3,1.9,17.1,193,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Paneer Butter Masala with Rice,100,166,12.9,16.8,39.9,0.6,15.8,289,Varies widely,Recipe variants cause large nutritional differences.
Rice Dish,Bisi Bele Bath,100,255,2.0,8.4,32.0,2.8,3.8,84,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Gujarati Butter Chicken with Rice,100,196,11.2,18.7,36.4,1.1,6.1,348,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Sambar with Rice with Rice,100,375,12.6,3.6,54.4,0.6,7.5,364,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Chole Bhature with Roti,100,293,6.3,19.9,13.8,4.0,10.8,238,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Kadai Paneer with Rice,100,144,17.6,23.7,43.6,4.8,6.7,466,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Malai Kofta small,100,307,3.7,3.2,38.1,2.5,6.1,435,Varies widely,Recipe variants cause large nutritional differences.
Meat/Seafood,Prawn Fry,100,273,28.0,11.3,8.7,0.0,0.0,341,"Protein, B12, Iron (esp. red meat), Omega-3 (seafood)",Good protein source; fat depends on cut & cooking.
Snack/Street Food,Paneer Pakora,100,375,13.5,31.2,25.0,5.1,5.1,412,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Regional Specialty,Rajasthani Aloo Gobi with Rice,100,353,3.0,24.0,20.1,4.3,3.1,349,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Dosa,100,239,3.8,7.5,12.8,2.1,4.5,56,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Gujarati Tawa Fish medium,100,293,11.9,16.1,34.1,0.7,18.9,208,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Masala Omelette with Rice,100,280,12.5,2.1,23.7,4.7,3.8,202,Varies widely,Recipe variants cause large nutritional differences.
Snack/Street Food,Samosa,100,366,13.8,29.5,53.7,5.5,2.9,355,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Regional Specialty,Keralan Sambar with Rice small,100,357,8.5,24.4,59.9,4.8,14.8,599,Varies widely,Recipe variants cause large nutritional differences.
Beverage,Buttermilk (Chaas),100,169,2.6,6.9,6.3,0.0,6.5,83,Varies (fruit drinks have vitamin C); caffeine in tea/coffee,Watch added sugar.
Regional Specialty,Punjabi Butter Chicken with Rice,100,294,17.2,13.2,21.3,1.3,2.0,143,Varies widely,Recipe variants cause large nutritional differences.
Bread/Roti,Lachha Paratha,100,249,7.6,6.7,43.7,4.5,4.8,400,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Bengali Egg Curry with Roti,100,145,13.2,8.0,59.5,0.7,8.4,503,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Malai Kofta small,100,385,9.9,15.9,35.8,2.3,12.5,206,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Egg Curry small,100,199,4.6,12.3,25.7,1.2,7.5,252,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Masala Omelette with Rice,100,407,12.7,16.0,24.9,1.1,1.7,323,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Baingan Bharta with Roti,100,394,5.8,9.5,32.9,1.9,17.3,580,Varies widely,Recipe variants cause large nutritional differences.
Fruit,Custard Apple,100,85,0.5,0.2,17.3,3.0,13.0,4,"Vitamin C, Potassium, Dietary Fiber",Fresh fruit; vitamins vary by type.
Regional Specialty,Gujarati Bhindi Masala small,100,341,5.8,15.5,29.0,4.7,6.3,292,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Masala Omelette small,100,196,10.8,7.5,12.8,5.2,16.3,453,Varies widely,Recipe variants cause large nutritional differences.
Snack/Street Food,Pakora (Mixed Veg),100,390,12.6,31.3,51.5,2.3,8.1,210,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Regional Specialty,Keralan Bhindi Masala with Rice,100,206,5.1,8.9,34.7,0.8,9.0,471,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Malai Kofta medium,100,321,17.9,19.0,25.0,2.4,16.7,585,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Shahi Paneer with Rice,100,305,10.6,4.8,20.0,1.3,15.9,66,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Vegetable Sandwich,100,163,9.7,9.0,32.9,3.1,5.1,142,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Gujarati Kadai Paneer small,100,275,17.4,2.4,56.9,5.8,2.8,530,Varies widely,Recipe variants cause large nutritional differences.
Fruit,Guava,100,55,0.4,0.5,22.6,2.8,6.6,4,"Vitamin C, Potassium, Dietary Fiber",Fresh fruit; vitamins vary by type.
Regional Specialty,Gujarati Aloo Gobi small,100,265,8.1,15.3,38.3,3.2,7.2,89,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Malai Kofta with Rice,100,267,13.6,17.9,34.5,3.1,11.4,320,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Paneer Butter Masala with Roti,100,363,9.7,10.3,39.7,3.0,4.8,84,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Bhindi Masala medium,100,388,5.2,6.4,36.3,5.0,5.7,446,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Masala Omelette with Roti,100,439,3.7,24.9,43.1,4.1,0.9,158,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Aloo Paratha with Roti,100,377,17.5,9.6,15.0,5.1,2.4,507,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Kadai Paneer with Roti,100,239,15.2,18.8,25.9,3.8,13.6,368,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Masala Omelette small,100,197,5.1,6.6,30.5,3.6,18.2,508,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Kadai Paneer small,100,331,3.7,21.9,47.1,0.6,11.3,467,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Shahi Paneer small,100,153,7.6,25.0,45.9,3.4,15.5,115,Varies widely,Recipe variants cause large nutritional differences.
Snack/Street Food,Batata Vada,100,296,5.7,25.8,32.9,2.4,1.6,385,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Regional Specialty,Gujarati Baingan Bharta small,100,402,5.4,14.9,57.9,1.8,8.4,228,Varies widely,Recipe variants cause large nutritional differences.
Snack/Street Food,Kachori,100,232,7.2,23.1,54.4,5.9,7.7,342,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Regional Specialty,Bengali Fish Fry medium,100,279,7.2,13.3,44.8,1.0,17.4,177,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Paneer Butter Masala with Roti,100,420,17.3,14.9,43.5,2.8,17.5,473,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Tawa Fish with Rice,100,410,11.5,15.0,19.4,5.9,17.7,544,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Chole Bhature with Rice,100,165,9.6,4.4,31.8,2.7,2.0,357,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Boiled Egg with Rice,100,173,10.7,16.2,24.1,4.8,10.2,244,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Tawa Fish small,100,198,3.8,2.1,14.4,5.0,12.7,531,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Chole Bhature small,100,343,3.3,23.2,53.1,3.7,11.7,467,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Fish Fry small,100,334,4.7,5.4,38.3,3.7,19.3,142,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Paneer Butter Masala with Rice,100,184,7.1,16.6,37.4,2.3,19.9,583,Varies widely,Recipe variants cause large nutritional differences.
Snack/Street Food,Vada Pav,100,180,9.2,29.8,45.9,5.7,7.6,301,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Regional Specialty,Hyderabadi Fish Fry with Roti,100,402,7.9,8.4,32.9,5.3,15.8,575,Varies widely,Recipe variants cause large nutritional differences.
Rice Dish,Curd Rice,100,158,4.7,8.5,43.3,1.0,0.9,128,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Rajasthani Bhindi Masala medium,100,163,13.9,14.9,59.6,1.8,10.7,429,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Shahi Paneer small,100,305,8.7,15.0,40.3,4.2,19.0,420,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Shahi Paneer medium,100,150,5.4,11.6,33.2,2.4,3.3,366,Varies widely,Recipe variants cause large nutritional differences.
Breakfast/Tiffin,Paneer Bhurji,100,178,5.2,5.1,27.9,1.4,6.1,258,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Regional Specialty,Gujarati Kadai Paneer with Rice,100,394,13.9,6.4,23.4,4.2,12.3,114,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Tawa Fish small,100,157,8.1,22.4,18.0,0.9,18.9,135,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Punjabi Paneer Butter Masala medium,100,450,8.4,11.2,19.5,1.2,17.0,505,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Malai Kofta medium,100,229,6.0,14.4,56.7,4.3,3.2,285,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Egg Curry small,100,414,15.7,20.3,27.7,5.1,17.0,220,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Chole Bhature small,100,298,8.3,24.0,42.3,1.3,2.5,302,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Aloo Gobi with Rice,100,417,3.0,19.8,46.6,4.5,9.4,406,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Matar Paneer with Rice,100,151,15.4,22.8,20.1,3.5,3.7,572,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Sambar with Rice with Rice,100,172,16.4,17.5,15.8,4.6,0.6,52,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Fish Fry small,100,449,7.1,22.6,52.6,3.0,4.8,349,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Bhindi Masala small,100,403,4.4,15.8,26.2,2.6,6.2,437,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Malai Kofta with Rice,100,378,9.9,7.5,39.2,0.8,6.0,521,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Kadai Paneer medium,100,405,17.2,22.2,55.6,3.9,8.8,547,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Aloo Paratha with Rice,100,187,4.4,8.8,47.4,1.5,3.1,592,Varies widely,Recipe variants cause large nutritional differences.
Snack/Street Food,Aloo Tikki,100,324,11.7,30.6,41.1,4.3,8.8,557,Varies; often high in fat & sodium,Often deep-fried; consume in moderation.
Regional Specialty,Rajasthani Aloo Paratha small,100,271,14.2,9.8,15.8,5.8,3.2,271,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Baingan Bharta small,100,197,8.2,2.6,15.2,2.8,19.3,158,Varies widely,Recipe variants cause large nutritional differences.
Meat/Seafood,Chicken Tikka,100,200,25.5,7.6,2.5,0.0,0.0,173,"Protein, B12, Iron (esp. red meat), Omega-3 (seafood)",Good protein source; fat depends on cut & cooking.
Regional Specialty,Keralan Baingan Bharta medium,100,124,10.3,6.5,29.2,3.6,13.2,458,Varies widely,Recipe variants cause large nutritional differences.
Fruit,Orange,100,98,1.4,0.3,20.4,1.2,14.0,5,"Vitamin C, Potassium, Dietary Fiber",Fresh fruit; vitamins vary by type.
Regional Specialty,Gujarati Tawa Fish with Roti,100,203,9.8,20.4,11.7,0.6,5.6,147,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Hyderabadi Bhindi Masala with Roti,100,136,4.4,10.7,37.6,0.8,0.7,215,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Bengali Butter Chicken with Roti,100,147,8.9,10.6,29.3,0.9,4.9,366,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Keralan Tawa Fish with Roti,100,214,8.6,10.8,19.3,0.7,9.1,309,Varies widely,Recipe variants cause large nutritional differences.
Salad/Side,Papad (Roasted),100,73,1.5,7.6,16.5,3.5,4.8,171,Varies,
Breakfast/Tiffin,Mixed Vegetable Sabzi,100,299,11.3,13.9,28.8,3.4,1.8,142,"B-vitamins, Iron (varies), Fibre (if wholegrain)",Values depend on oil/ghee and portion.
Sweets/Dessert,Peda,100,331,7.9,17.4,40.4,0.9,42.3,216,Calcium (dairy-based); minimal vitamins otherwise,High sugar and calories.
Regional Specialty,Bengali Fish Curry,100,360,10.2,9.8,58.3,1.9,17.3,156,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Rajasthani Malai Kofta with Roti,100,151,13.6,13.9,38.0,6.0,9.8,425,Varies widely,Recipe variants cause large nutritional differences.
Regional Specialty,Gujarati Egg Curry small,100,206,16.9,12.0,46.2,3.2,8.0,476,Varies widely,Recipe variants cause large nutritional differences.
Meat/Seafood,Fish Curry,100,262,19.2,4.7,1.9,0.0,0.0,282,"Protein, B12, Iron (esp. red meat), Omega-3 (seafood)",Good protein source; fat depends on cut & cooking.
